# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      278.254     3020.609
       1.035       42.500      298.047     3085.355
       2.071       33.800      300.289     3087.715
       3.100       52.500      302.914     3089.508
       4.128       47.700      305.199     3091.688
       5.156       52.500      306.742     3093.176
       6.185       56.400      308.281     3094.973
       7.276       55.900      310.668     3097.148
       8.306       58.200      312.699     3099.383
       9.339       54.200      314.750     3101.242
      10.375       55.000      315.262     3101.898
      11.405       35.900      315.516     3102.047
      12.436       55.300      315.785     3102.340
      13.465       56.400      315.785     3102.340
      14.494       47.600      316.812     3103.281
      15.526       50.400      317.586     3104.074
      16.556       43.700      305.566     3104.867
      17.596       55.800      305.465     3105.680
      18.624       49.600      318.941     3106.203
      19.652       53.500      319.977     3107.309
      20.679       52.500      308.688     3095.719
      21.713       53.200      309.691     3095.719
      22.749       56.000      309.691     3095.719
      23.782       47.400      310.461     3095.719
      24.815       37.800      310.695     3095.719
      25.847       49.400      311.703     3096.941
      26.876       56.400      313.250     3098.359
      27.905       48.600      314.797     3100.039
      28.936       28.100      316.086     3101.277
      29.964       51.500      317.375     3102.520
      30.995       53.400      318.145     3103.320
      32.069       50.300      318.145     3103.449
      33.097       68.000      318.660     3103.758
      34.136       64.500      318.914     3104.066
      35.174       64.600      321.734     3107.059
      36.205       61.100      322.766     3110.094
      37.236       67.900      326.633     3111.895
      38.265       48.600      327.406     3112.695
      39.307       56.600      328.438     3113.754
      40.335       55.400      329.727     3114.992
      41.364       54.400      330.242     3115.445
      42.395       54.300      330.500     3115.738
      43.426       54.300      330.500     3115.883
      44.463       45.300      330.758     3116.031
      45.497       42.500      328.832     3116.176
      46.526       49.600      329.289     3116.617
      47.555       55.400      329.633     3116.910
      48.588       50.300      329.887     3117.059
      49.616       52.600      330.309     3117.352
      50.646       60.100      330.566     3117.496
      51.677       60.200      330.973     3117.914
      52.707       54.400      332.000     3118.438
      53.737       52.500      332.922     3119.375
      54.772       48.300      333.695     3119.918
      55.804       50.400      334.469     3120.711
      56.832       52.500      334.727     3120.984
      57.864       58.200      324.516     3110.598
      58.892       56.400      324.516     3110.598
      59.921       51.500      324.516     3110.598
      60.953       44.600      323.371     3110.598
      61.984       47.500      323.559     3110.598
      63.015       56.300      323.625     3110.598
      64.047       52.300      323.625     3110.598
      65.077       52.400      323.625     3110.598
      66.107       54.400      323.625     3110.598
      67.138       48.500      323.668     3110.598
      68.173       22.200      323.688     3110.598
