# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       57.734      778.668
       1.022      569.300       59.238      780.285
       2.043      702.700       61.535      782.645
       3.062      845.000       63.570      784.566
       4.077      689.700       65.625      786.492
       5.094      645.000       67.930      788.852
       6.109      612.300       69.266      790.215
       7.126      747.300       70.555      791.777
       8.154      637.400       71.059      792.219
       9.171      617.700       71.316      792.512
      10.193      627.100       71.809      792.805
      11.208      640.500       72.656      793.598
      12.223      599.900       73.168      794.289
      13.238      664.700       73.941      794.809
      14.253      710.100       74.457      795.602
      15.274      924.600       75.746      796.855
      16.290      732.600       68.465      789.289
      17.306      637.700       68.465      789.289
      18.330      424.200       68.465      789.289
      19.345      379.100       68.465      789.289
      20.364      713.500       68.465      789.289
      21.384      495.800       68.465      789.289
      22.403      799.200       68.465      789.289
      23.424      760.300       69.438      790.367
      24.443      747.500       71.238      792.230
      25.462      647.500       73.043      794.090
      26.477      731.500       74.328      795.328
      27.491      696.700       75.617      796.566
      28.506      548.100       76.898      797.809
      29.524      644.500       78.188      799.047
      30.544      214.700       78.445      799.355
      31.559      224.700       78.703      799.668
      32.582      204.300       78.961      799.977
      33.603      283.100       79.734      800.598
      34.623      493.100       80.246      801.207
      35.642      413.000       80.246      801.352
      36.658      650.100       80.504      801.500
      37.672      584.100       80.504      801.500
      38.692      711.100       80.762      801.816
      39.707      573.600       81.020      801.965
      40.724      829.400       81.277      802.258
      41.743      393.600       81.277      802.406
      42.758      506.600       81.277      802.406
      43.773      589.000       81.844      802.785
      44.788      653.200       82.617      803.578
      45.809      619.200       83.129      804.246
      46.830      729.800       83.902      804.914
      47.849      567.200       84.676      805.582
      48.872      361.600       84.934      806.000
      49.893      548.600       85.449      806.543
      50.910      658.000       86.223      807.336
      51.925      627.500       74.535      795.375
      52.942      571.400       74.535      795.375
      53.957      706.200       74.535      795.375
      54.972      546.100       74.535      795.375
      55.988      539.200       74.535      795.375
      57.007      430.700       74.535      795.375
      58.029      680.900       74.535      795.375
      59.046      703.300       74.535      795.375
      60.064      653.100       74.535      795.375
      61.084      715.100       74.535      795.375
      62.099      637.200       74.535      795.375
      63.116      583.200       74.535      795.375
      64.134      728.400       74.535      795.375
      65.149      404.900       74.824      795.930
      66.166        0.000       74.824      795.930
      67.182        0.000       74.824      795.930
      68.199        0.000       74.824      795.930
