# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      274.281     3016.664
       1.029       51.500      298.609     3086.234
       2.057       48.600      300.949     3087.852
       3.092       57.000      303.246     3090.211
       4.122       34.000      305.281     3092.133
       5.150       48.600      307.336     3094.059
       6.182       55.200      309.641     3096.418
       7.210       55.400      310.977     3097.961
       8.241       54.300      312.266     3099.344
       9.272       53.400      312.770     3099.785
      10.299       42.800      313.027     3100.078
      11.325       39.900      313.520     3100.496
      12.352       53.600      314.367     3101.164
      13.380       55.400      315.137     3101.980
      14.407       52.500      315.652     3102.500
      15.435       58.400      303.730     3103.316
      16.463       48.700      316.617     3104.422
      17.492       40.800      308.715     3096.855
      18.519       49.700      309.562     3096.855
      19.548       42.800      309.570     3096.855
      20.581       25.200      309.570     3096.855
      21.609       43.800      309.570     3096.855
      22.640       56.300      310.574     3096.855
      23.668       59.300      310.574     3096.855
      24.706       54.900      312.809     3098.117
      25.734       54.500      314.367     3099.797
      26.769       43.500      316.172     3101.656
      27.801       41.600      317.973     3103.516
      28.829       41.800      318.746     3104.133
      29.861       55.200      320.285     3105.684
      30.890       52.500      321.574     3106.922
      31.917       64.200      321.574     3106.922
      32.950       63.900      321.832     3107.234
      33.981       63.100      322.863     3108.164
      35.009       71.000      327.438     3112.961
      36.037       70.000      327.691     3113.109
      37.064       50.700      327.691     3113.254
      38.091       56.400      327.949     3113.402
      39.119       53.500      328.207     3113.562
      40.146       48.600      328.207     3113.719
      41.174       54.500      328.465     3114.016
      42.205       49.500      328.723     3114.309
      43.235       63.100      328.723     3114.309
      44.270       47.300      323.695     3114.309
      45.299       49.600      327.555     3115.082
      46.327       58.400      328.328     3115.750
      47.361       53.200      329.098     3116.691
      48.389       48.600      329.777     3116.965
      49.428       34.600      330.551     3117.758
      50.462       60.000      330.957     3118.301
      51.493       54.300      331.730     3118.969
      52.529       40.500      331.363     3117.680
      53.579       52.400      320.961     3107.277
      54.611       58.200      320.961     3107.277
      55.643       49.300      320.961     3107.277
      56.681       58.900      320.961     3107.277
      57.724       21.100      320.961     3107.277
      58.751       45.700      320.961     3107.277
      59.781       58.300      306.414     3107.277
      60.812       53.400      320.004     3107.277
      61.843       52.400      320.070     3107.277
      62.870       55.500      320.070     3107.277
      63.898       51.600      320.070     3107.277
      64.955       50.100      320.113     3107.277
      65.983       45.700      320.422     3107.832
      67.013        0.000      320.422     3107.832
